Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Pace,Elev Gain
Running,2019-09-27 07:16:58,10.02,666,00:50:00,154,186,4:59,37
Running,2019-09-22 10:37:17,20.99,1388,01:29:39,176,189,4:16,476
Running,2019-09-20 07:08:07,10,729,00:53:56,154,175,5:24,45
Running,2019-09-18 07:03:26,10.01,696,00:50:34,156,169,5:03,54
Running,2019-09-16 06:59:14,10.01,716,00:53:01,160,185,5:18,52
Running,2019-09-14 09:40:40,10,677,00:50:59,150,165,5:06,50
Running,2019-09-10 06:49:21,11,656,00:56:53,139,176,5:10,65
Running,2019-09-05 06:42:47,10.01,640,00:55:23,146,168,5:32,46
Running,2019-09-03 06:52:36,10.01,708,00:55:23,153,170,5:32,47
Running,2019-08-31 09:08:28,10.01,666,00:53:14,145,153,5:19,43
Running,2019-08-29 07:13:59,10,698,00:52:26,155,175,5:14,49
Running,2019-08-26 07:22:59,10.01,636,00:54:28,141,160,5:27,44
Running,2019-08-24 17:37:16,5.01,359,00:27:41,146,164,5:32,--
Running,2019-08-22 07:51:03,10.01,649,00:53:24,145,162,5:20,40
Running,2019-08-20 07:58:13,10.01,672,00:54:15,145,169,5:25,45
Running,2019-08-16 07:27:32,10.01,638,00:53:11,145,162,5:19,46
Running,2019-08-14 08:48:20,10.01,645,00:50:42,152,175,5:04,43
Running,2019-08-09 07:11:33,10.01,776,00:55:00,158,178,5:30,50
Running,2019-08-07 07:54:47,10,647,00:54:13,144,169,5:25,43
Running,2019-08-04 09:15:10,10.01,672,00:50:20,152,174,5:02,39
Running,2019-08-01 07:31:56,10,600,00:52:28,140,180,5:15,56
Running,2019-07-23 07:20:14,10,628,00:59:42,138,159,5:58,151
Running,2019-07-21 07:15:05,10,653,00:56:09,143,168,5:37,151
Running,2019-07-09 07:28:06,10.01,639,00:53:00,145,163,5:18,38
Running,2019-07-07 16:59:36,10.01,726,00:50:23,157,180,5:02,43
Running,2019-07-05 07:25:43,10,641,00:55:38,139,160,5:34,59
Running,2019-07-03 07:25:00,10.01,643,00:47:49,159,190,4:47,38
Running,2019-06-30 08:01:13,20.57,1467,01:29:12,176,187,4:20,55
Running,2019-06-28 08:26:59,9.98,628,00:52:49,140,167,5:18,57
Running,2019-06-26 07:26:55,10,629,00:50:11,145,156,5:01,53
Running,2019-06-24 19:15:31,10.01,675,00:51:28,148,156,5:09,39
Running,2019-06-21 07:12:53,10.01,663,00:50:54,148,156,5:05,43
Running,2019-06-13 07:24:35,10.01,682,00:48:32,160,187,4:51,47
Running,2019-06-12 06:50:30,10.01,671,00:50:15,151,169,5:01,52
Running,2019-06-08 08:33:07,10.01,695,00:50:10,154,168,5:01,55
Running,2019-05-26 10:39:47,10,649,00:48:01,153,175,4:48,53
Running,2019-05-24 07:05:19,10.01,722,00:52:00,159,176,5:12,47
